Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara | Wallah Twahachtek | والله توحشتك |  HS S1,Sanfara | Wallah Twahachtek | والله توحشتك |  HS S1,2024-07-06T13:59:22Z,Solo,[],4980,125746,254
Sanfara | Melody | HS S1,Sanfara | Melody | HS S1,2024-07-02T14:07:25Z,Solo,[],7390,173288,549
Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],2024-06-22T12:58:25Z,Solo,[],29617,1170707,1195
Sanfara - Psy (Official Music Video),Sanfara - Psy (Official Music Video),2024-06-13T11:59:00Z,Solo,[],18782,1015725,878
Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,2024-06-06T11:00:00Z,Solo,[],14810,573840,760
Sanfara - Qatra (Official Music Video) | قطرة,Sanfara - Qatra (Official Music Video) | قطرة,2024-05-23T12:29:08Z,Solo,[],28424,1894363,1236
Sanfara - Lambo (Official Music Video),Sanfara - Lambo (Official Music Video),2024-05-10T13:00:21Z,Solo,[],15470,676824,782
Sanfara - Oumouri (Official Music Video) | أموري,Sanfara - Oumouri (Official Music Video) | أموري,2024-04-26T13:01:40Z,Solo,[],21173,1296550,971
Sanfara ft. @GhitaLahmamssiofficial - Tak Tak [Official Music Video],Sanfara ft. @GhitaLahmamssiofficial - Tak Tak [Official Music Video],2024-07-08T12:23:20Z,Featuring,@GhitaLahmamssiofficial - Tak Tak [Official Music Video],740,10,46
Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],2024-06-22T12:58:25Z,Solo,[],29617,1170707,1195
Sanfara - Psy (Official Music Video),Sanfara - Psy (Official Music Video),2024-06-13T11:59:00Z,Solo,[],18782,1015725,878
Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,Sanfara - Taw Nbi3 (Official Music Video) | تو نبيع,2024-06-06T11:00:00Z,Solo,[],14810,573843,760
Sanfara - Lambo (Official Music Video),Sanfara - Lambo (Official Music Video),2024-05-10T13:00:21Z,Solo,[],15470,676824,782
Sanfara - Oumouri (Official Music Video) | أموري,Sanfara - Oumouri (Official Music Video) | أموري,2024-04-26T13:01:40Z,Solo,[],21173,1296550,971
Sanfara - Swed Ellil (Official Lyric Video) | سواد الليل,Sanfara - Swed Ellil (Official Lyric Video) | سواد الليل,2024-01-27T16:00:28Z,Solo,[],9480,522308,361
Sanfara - Anseni (Official Audio) | أنساني,Sanfara - Anseni (Official Audio) | أنساني,2024-01-20T14:18:49Z,Solo,[],8324,327342,369
Sanfara - Mi Amor (Official Lyric Video),Sanfara - Mi Amor (Official Lyric Video),2024-01-17T16:20:04Z,Solo,[],8092,239231,404
Sanfara - Shottas (Official Music Video),Sanfara - Shottas (Official Music Video),2024-01-06T15:00:11Z,Solo,[],18715,1057892,766
Sanfara - Chedni & Nchedek (Clip Officiel) | شدني و نشدك,Sanfara - Chedni & Nchedek (Clip Officiel) | شدني و نشدك,2016-11-08T17:58:14Z,Solo,[],90941,19972141,2711
Sanfara - One Love (Clip Officiel),Sanfara - One Love (Clip Officiel),2017-03-28T17:52:05Z,Solo,[],76874,15757475,1917
Sanfara - 3ala Mout 3ala 7yé (Clip Officiel) | على موت على حيا,Sanfara - 3ala Mout 3ala 7yé (Clip Officiel) | على موت على حيا,2017-04-19T21:55:16Z,Solo,[],78781,15558357,2629
Sanfara - Ferryville (Clip Officiel),Sanfara - Ferryville (Clip Officiel),2017-11-06T17:01:13Z,Solo,[],84218,17511563,2070
Sanfara - BrudeR (Clip Officiel),Sanfara - BrudeR (Clip Officiel),2018-09-01T15:32:33Z,Solo,[],82536,12080795,2905
Sanfara - Sikou Sikou (Clip Officiel),Sanfara - Sikou Sikou (Clip Officiel),2018-09-16T12:38:09Z,Solo,[],256518,43167133,8036
Sanfara - Informer (Clip Officiel),Sanfara - Informer (Clip Officiel),2018-10-02T14:45:56Z,Solo,[],138640,21876945,3515
Sanfara - Marijuana (Clip Officiel) | مريخوانا,Sanfara - Marijuana (Clip Officiel) | مريخوانا,2018-10-28T11:11:09Z,Solo,[],93217,13641511,2183
Sanfara ft. Souki & Saad - No No (Clip Officiel),Sanfara ft. Souki & Saad - No No (Clip Officiel),2018-12-02T14:02:52Z,Featuring,Souki & Saad - No No (Clip Officiel),347649,59491187,10592
Sanfara ft. Souki - Ma Cité (Clip Officiel),Sanfara ft. Souki - Ma Cité (Clip Officiel),2019-02-21T18:34:41Z,Featuring,Souki - Ma Cité (Clip Officiel),354704,58748335,8364
